# ra dec fovra fovdec n 
50.80682 30.00000 1.00 1.00 0 
51.96152 30.00000 1.00 1.00 1 
53.11622 30.00000 1.00 1.00 2 
54.27093 30.00000 1.00 1.00 3 
55.42563 30.00000 1.00 1.00 4 
56.58033 30.00000 1.00 1.00 5 
57.73503 30.00000 1.00 1.00 6 
58.88973 30.00000 1.00 1.00 7 
60.04443 30.00000 1.00 1.00 8 
61.19913 30.00000 1.00 1.00 9 
62.35383 30.00000 1.00 1.00 10 
63.50853 30.00000 1.00 1.00 11 
64.66323 30.00000 1.00 1.00 12 
65.81793 30.00000 1.00 1.00 13 
66.97263 30.00000 1.00 1.00 14 
68.12733 30.00000 1.00 1.00 15 
69.28203 30.00000 1.00 1.00 16 
50.16524 31.00000 1.00 1.00 17 
51.33187 31.00000 1.00 1.00 18 
52.49850 31.00000 1.00 1.00 19 
53.66514 31.00000 1.00 1.00 20 
54.83177 31.00000 1.00 1.00 21 
55.99840 31.00000 1.00 1.00 22 
57.16504 31.00000 1.00 1.00 23 
58.33167 31.00000 1.00 1.00 24 
59.49830 31.00000 1.00 1.00 25 
60.66494 31.00000 1.00 1.00 26 
61.83157 31.00000 1.00 1.00 27 
62.99820 31.00000 1.00 1.00 28 
64.16484 31.00000 1.00 1.00 29 
65.33147 31.00000 1.00 1.00 30 
66.49810 31.00000 1.00 1.00 31 
67.66474 31.00000 1.00 1.00 32 
68.83137 31.00000 1.00 1.00 33 
69.99800 31.00000 1.00 1.00 34 
50.70467 32.00000 1.00 1.00 35 
51.88385 32.00000 1.00 1.00 36 
53.06303 32.00000 1.00 1.00 37 
54.24221 32.00000 1.00 1.00 38 
55.42138 32.00000 1.00 1.00 39 
56.60056 32.00000 1.00 1.00 40 
57.77974 32.00000 1.00 1.00 41 
58.95892 32.00000 1.00 1.00 42 
60.13810 32.00000 1.00 1.00 43 
61.31728 32.00000 1.00 1.00 44 
62.49646 32.00000 1.00 1.00 45 
63.67563 32.00000 1.00 1.00 46 
64.85481 32.00000 1.00 1.00 47 
66.03399 32.00000 1.00 1.00 48 
67.21317 32.00000 1.00 1.00 49 
68.39235 32.00000 1.00 1.00 50 
69.57153 32.00000 1.00 1.00 51 
50.07926 33.00000 1.00 1.00 52 
51.27162 33.00000 1.00 1.00 53 
52.46398 33.00000 1.00 1.00 54 
53.65635 33.00000 1.00 1.00 55 
54.84871 33.00000 1.00 1.00 56 
56.04107 33.00000 1.00 1.00 57 
57.23344 33.00000 1.00 1.00 58 
58.42580 33.00000 1.00 1.00 59 
59.61816 33.00000 1.00 1.00 60 
60.81053 33.00000 1.00 1.00 61 
62.00289 33.00000 1.00 1.00 62 
63.19525 33.00000 1.00 1.00 63 
64.38762 33.00000 1.00 1.00 64 
65.57998 33.00000 1.00 1.00 65 
66.77234 33.00000 1.00 1.00 66 
67.96471 33.00000 1.00 1.00 67 
69.15707 33.00000 1.00 1.00 68 
50.66115 34.00000 1.00 1.00 69 
51.86737 34.00000 1.00 1.00 70 
53.07359 34.00000 1.00 1.00 71 
54.27981 34.00000 1.00 1.00 72 
55.48603 34.00000 1.00 1.00 73 
56.69224 34.00000 1.00 1.00 74 
57.89846 34.00000 1.00 1.00 75 
59.10468 34.00000 1.00 1.00 76 
60.31090 34.00000 1.00 1.00 77 
61.51712 34.00000 1.00 1.00 78 
62.72333 34.00000 1.00 1.00 79 
63.92955 34.00000 1.00 1.00 80 
65.13577 34.00000 1.00 1.00 81 
66.34199 34.00000 1.00 1.00 82 
67.54821 34.00000 1.00 1.00 83 
68.75442 34.00000 1.00 1.00 84 
69.96064 34.00000 1.00 1.00 85 
50.05176 35.00000 1.00 1.00 86 
51.27253 35.00000 1.00 1.00 87 
52.49331 35.00000 1.00 1.00 88 
53.71408 35.00000 1.00 1.00 89 
54.93486 35.00000 1.00 1.00 90 
56.15563 35.00000 1.00 1.00 91 
57.37641 35.00000 1.00 1.00 92 
58.59718 35.00000 1.00 1.00 93 
59.81795 35.00000 1.00 1.00 94 
61.03873 35.00000 1.00 1.00 95 
62.25950 35.00000 1.00 1.00 96 
63.48028 35.00000 1.00 1.00 97 
64.70105 35.00000 1.00 1.00 98 
65.92183 35.00000 1.00 1.00 99 
67.14260 35.00000 1.00 1.00 100 
68.36338 35.00000 1.00 1.00 101 
69.58415 35.00000 1.00 1.00 102 
50.67879 36.00000 1.00 1.00 103 
51.91486 36.00000 1.00 1.00 104 
53.15092 36.00000 1.00 1.00 105 
54.38699 36.00000 1.00 1.00 106 
55.62306 36.00000 1.00 1.00 107 
56.85913 36.00000 1.00 1.00 108 
58.09519 36.00000 1.00 1.00 109 
59.33126 36.00000 1.00 1.00 110 
60.56733 36.00000 1.00 1.00 111 
61.80340 36.00000 1.00 1.00 112 
63.03947 36.00000 1.00 1.00 113 
64.27553 36.00000 1.00 1.00 114 
65.51160 36.00000 1.00 1.00 115 
66.74767 36.00000 1.00 1.00 116 
67.98374 36.00000 1.00 1.00 117 
69.21981 36.00000 1.00 1.00 118 
50.08543 37.00000 1.00 1.00 119 
51.33756 37.00000 1.00 1.00 120 
52.58970 37.00000 1.00 1.00 121 
53.84183 37.00000 1.00 1.00 122 
55.09397 37.00000 1.00 1.00 123 
56.34610 37.00000 1.00 1.00 124 
57.59824 37.00000 1.00 1.00 125 
58.85038 37.00000 1.00 1.00 126 
60.10251 37.00000 1.00 1.00 127 
61.35465 37.00000 1.00 1.00 128 
62.60678 37.00000 1.00 1.00 129 
63.85892 37.00000 1.00 1.00 130 
65.11105 37.00000 1.00 1.00 131 
66.36319 37.00000 1.00 1.00 132 
67.61533 37.00000 1.00 1.00 133 
68.86746 37.00000 1.00 1.00 134 
50.76073 38.00000 1.00 1.00 135 
52.02975 38.00000 1.00 1.00 136 
53.29877 38.00000 1.00 1.00 137 
54.56778 38.00000 1.00 1.00 138 
55.83680 38.00000 1.00 1.00 139 
57.10582 38.00000 1.00 1.00 140 
58.37484 38.00000 1.00 1.00 141 
